0
Days_Since_Last_Flight
Days_Since_Last_Earning
Days_Since_Last_Redemption
Flights_3M
Flights_6M
Flights_12M
Flights_Lifetime
Active_Months
Points_Earned_3M
Points_Redeemed_3M
Distance_3M
Points_Earned_6M
Points_Redeemed_6M
Distance_6M
Points_Earned_12M
Points_Redeemed_12M
Distance_12M
Points_Earned_Lifetime
Points_Redeemed_Lifetime
Distance_Lifetime
Dollar_Cost_Lifetime
Flight_Trend_6M
Points_Trend_6M
Distance_Trend_6M
Engagement_Trend
Loyalty_Card_Ordinal
Tenure_Months
Education_Ordinal
Salary
CLV
Salary_Missing
Enrollment_Age_Months
Is_Promo_Enrollment
Is_Male
Is_Married
Is_Single
Redemption_Ratio
Avg_Distance_Per_Flight
Activity_Consistency
Preferred_Quarter
Declining_Activity
Declining_Redemption
Months_Inactive
